Station2,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
L04-672-1,Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,1820913.696,1820913.696,1.1367583411279915e-4,0.0018667082284652167
L04-266-5,Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,7837275.600000001,7837275.600000001,4.892647262519621e-4,0.0018667082284652167
J01-10004-1 (J01P01),Total,"2,4'-DDE",<,1,ng/L,LAKE FOREST,864420.3563028767,864420.3563028767,5.396395515211313e-5,6.015402973580385e-5
L03-662-3 (L03P16),Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,791458.29,791458.29,4.940908593245031e-5,0.0018667082284652167
L03-214-2 (L03P18),Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,10072589.117267119,10072589.117267119,6.288106746058783e-4,0.0018667082284652167
L03-214-2 (L03P18),Total,"2,4'-DDE",<,1,ng/L,RANCHO SANTA MARGARITA,479795.8095631303,479795.8095631303,2.9952649033133848e-5,4.134988368451348e-4
L03-316-3 (L03P12),Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,8376960.281847767,8376960.281847767,5.229561123411058e-4,0.0018667082284652167
L01-404-1,Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,467803.0665000001,467803.0665000001,2.9203967163149262e-5,0.0018231420930441948
L01-340-1,Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,222865.79187889196,222865.79187889196,1.3913045325923315e-5,0.0018231420930441948
L01-340-1,Total,"2,4'-DDE",<,1,ng/L,RANCHO SANTA MARGARITA,2737.9326098279057,2737.9326098279057,1.7092340721612117e-7,4.134988368451348e-4
L05-489-3,Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,15273413.564915098,15273413.564915098,9.534872688120334e-4,0.0018231420930441948
L05-049-1,Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,6459566.4,6459566.4,4.032572219869839e-4,0.0018231420930441948
L02-374-1 (L02P50),Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,6629839.826400001,6629839.826400001,4.138870359181898e-4,0.0018231420930441948
L03-418-8,Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,109876.87025110077,109876.87025110077,6.8593832332280335e-6,0.0010419071349436308
L03-418-8,Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,1002625.2111076597,1002625.2111076597,6.259179522102106e-5,0.0018667082284652167
J03-9221-1 (J03P02),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,3169526.9760000003,3169526.9760000003,1.9786694093810474e-4,0.0010419071349436308
J01-9224-2 (J01P25),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,4874.888154471552,4874.888154471552,3.0432907302716985e-7,1.8012120915138674e-4
J01-9224-2 (J01P25),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,292686.7105273306,292686.7105273306,1.8271819266345782e-5,0.0010419071349436308
J01-9992-1 (J01P27),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,222518.53120595615,222518.53120595615,1.3891366568309887e-5,1.8012120915138674e-4
J01-9992-1 (J01P27),Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,652.66864898256,652.66864898256,4.0744738883201976e-8,0.0018231420930441948
J01-9131-1 (J01P28),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,566854.848,566854.848,3.538756274327237e-5,1.8012120915138674e-4
J01-9007-1 (J02P05),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,560271.1818090362,560271.1818090362,3.49765582308553e-5,1.8012120915138674e-4
J01-9007-1 (J02P05),Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,10303.188336323325,10303.188336323325,6.43206501618195e-7,0.0018231420930441948
J06-9079-1 (J06P03),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,434948.7669667898,434948.7669667898,2.715294194881125e-5,1.8012120915138674e-4
J06-10011-1 (J06P01),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,64191.82316073409,64191.82316073409,4.007361280793919e-6,1.8012120915138674e-4
J06-10011-1 (J06P01),Total,"2,4'-DDE",<,1,ng/L,LAGUNA HILLS,90036.09893448578,90036.09893448578,5.620765371320585e-6,5.620765371320585e-6
J06-10011-1 (J06P01),Total,"2,4'-DDE",<,1,ng/L,LAGUNA WOODS,164795.93644752,164795.93644752,1.0287865688101056e-5,1.0287865688101056e-5
J06-10011-1 (J06P01),Total,"2,4'-DDE",<,1,ng/L,LAKE FOREST,99155.5652674541,99155.5652674541,6.190074583690727e-6,6.015402973580385e-5
J01-9082-2,Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,1030693.3046623744,1030693.3046623744,6.434402760512425e-5,1.8012120915138674e-4
J01-9082-2,Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,22674.74953076879,22674.74953076879,1.4155371953492865e-6,0.0018231420930441948
L01-726-5,Total,"2,4'-DDE",<,1,ng/L,DANA POINT,317948.7751340659,317948.7751340659,1.98488771312464e-5,3.156446572911378e-4
L01-726-5,Total,"2,4'-DDE",<,1,ng/L,SAN JUAN CAPISTRANO,21257.621507790718,21257.621507790718,1.3270688563991607e-6,2.4609173855706337e-4
L01-728-5 (L01-DP),Total,"2,4'-DDE",<,1,ng/L,DANA POINT,0,0,0,3.156446572911378e-4
K01-12159-2,Total,"2,4'-DDE",<,1,ng/L,DANA POINT,2048284.7999999998,2048284.7999999998,1.27870136652851e-4,3.156446572911378e-4
K01-12159-3,Total,"2,4'-DDE",<,1,ng/L,DANA POINT,848016.0000000001,848016.0000000001,5.293986549321858e-5,3.156446572911378e-4
I01-11010-1,Total,"2,4'-DDE",<,1,ng/L,LAGUNA BEACH,110108.16,110108.16,6.873822168574401e-6,1.3788889012596886e-4
I00-11437-1,Total,"2,4'-DDE",<,1,ng/L,LAGUNA BEACH,2098661.8087118063,2098661.8087118063,1.3101506795739446e-4,1.3788889012596886e-4
I00-11437-1,Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,76751.95130994794,76751.95130994794,4.791463815176488e-6,0.0018231420930441948
L02-246-1 (L11P01),Total,"2,4'-DDE",<,1,ng/L,RANCHO SANTA MARGARITA,650851.2,650851.2,4.063127934390377e-5,4.134988368451348e-4
L02-641-1,Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,1771.4250436392,1771.4250436392,1.1058636103750177e-7,0.0018231420930441948
L02-641-1,Total,"2,4'-DDE",<,1,ng/L,RANCHO SANTA MARGARITA,299548.574853912,299548.574853912,1.870019110659636e-5,4.134988368451348e-4
L02-641-2,Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,25459.629297200037,25459.629297200037,1.5893914153753902e-6,0.0018231420930441948
L02-641-2,Total,"2,4'-DDE",<,1,ng/L,RANCHO SANTA MARGARITA,4305231.937230365,4305231.937230365,2.687666266604456e-4,4.134988368451348e-4
L01-731-1 (L08TBN2),Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,7622.221903016212,7622.221903016212,4.7583937367354245e-7,0.0018231420930441948
L01-731-1 (L08TBN2),Total,"2,4'-DDE",<,1,ng/L,RANCHO SANTA MARGARITA,122306.9619995369,122306.9619995369,7.635367867044583e-6,4.134988368451348e-4
L02-166-3 (L02P26),Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,4309.640532079483,4309.640532079483,2.690418460175407e-7,0.0018231420930441948
L02-166-3 (L02P26),Total,"2,4'-DDE",<,1,ng/L,RANCHO SANTA MARGARITA,763149.052350498,763149.052350498,4.7641799426794524e-5,4.134988368451348e-4
L05-503-1,Total,"2,4'-DDE",<,1,ng/L,SAN JUAN CAPISTRANO,2550193.6319999998,2550193.6319999998,1.5920325543355613e-4,2.4609173855706337e-4
L01-724-4 (L01P03),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,477727.5219414121,477727.5219414121,2.9823530162151402e-5,0.0010419071349436308
L01-724-4 (L01P03),Total,"2,4'-DDE",<,1,ng/L,SAN JUAN CAPISTRANO,1169099.6795407326,1169099.6795407326,7.298444815080297e-5,2.4609173855706337e-4
L01-724-1 (L01S01),Total,"2,4'-DDE",<,1,ng/L,DANA POINT,192853.50008793545,192853.50008793545,1.203944071167492e-5,3.156446572911378e-4
L01-724-1 (L01S01),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,136958.12364967624,136958.12364967624,8.550009250081906e-6,0.0010419071349436308
L01-724-1 (L01S01),Total,"2,4'-DDE",<,1,ng/L,SAN JUAN CAPISTRANO,201463.8382383276,201463.8382383276,1.2576966116305125e-5,2.4609173855706337e-4
M01-042-1 (M01S01),Total,"2,4'-DDE",<,1,ng/L,SAN CLEMENTE,2296412.823,2296412.823,1.4336025023881902e-4,6.778735337817382e-4
M02-032-1,Total,"2,4'-DDE",<,1,ng/L,SAN CLEMENTE,2370822.470496,2370822.470496,1.4800548892515987e-4,6.778735337817382e-4
M02-085-1 (M02P06),Total,"2,4'-DDE",<,1,ng/L,ORANGE CO,924.9483429929159,924.9483429929159,5.7742590783924325e-8,0.0018231420930441948
M02-085-1 (M02P06),Total,"2,4'-DDE",<,1,ng/L,SAN CLEMENTE,1334007.5785502123,1334007.5785502123,8.327930342750898e-5,6.778735337817382e-4
M02-085-2,Total,"2,4'-DDE",<,1,ng/L,SAN CLEMENTE,4857258.51,4857258.51,3.0322849119025026e-4,6.778735337817382e-4
K01-12126-1 (K01S01),Total,"2,4'-DDE",<,1,ng/L,DANA POINT,1649043.5017217847,1649043.5017217847,1.0294633730214693e-4,3.156446572911378e-4
K01-12126-1 (K01S01),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,4419767.737990215,4419767.737990215,2.7591685718249287e-4,0.0010419071349436308
K01-12177-1 (K01P07),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,8028342.428597124,8028342.428597124,5.011926287987863e-4,0.0010419071349436308
J01-9224-1 (J01P24),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,914.041528963416,914.041528963416,5.706170119259435e-8,1.8012120915138674e-4
J01-9224-1 (J01P24),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,54878.75822387448,54878.75822387448,3.425966112439833e-6,0.0010419071349436308
L04-672-1,Total,"2,4'-DDT",<,1,ng/L,MISSION VIEJO,1820913.696,1820913.696,1.1367583411279915e-4,0.0018667082284652167
L04-266-5,Total,"2,4'-DDT",<,1,ng/L,MISSION VIEJO,7837275.600000001,7837275.600000001,4.892647262519621e-4,0.0018667082284652167
J01-10004-1 (J01P01),Total,"2,4'-DDT",<,1,ng/L,LAKE FOREST,864420.3563028767,864420.3563028767,5.396395515211313e-5,6.015402973580385e-5
L03-662-3 (L03P16),Total,"2,4'-DDT",<,1,ng/L,MISSION VIEJO,791458.29,791458.29,4.940908593245031e-5,0.0018667082284652167
L03-214-2 (L03P18),Total,"2,4'-DDT",<,1,ng/L,MISSION VIEJO,10072589.117267119,10072589.117267119,6.288106746058783e-4,0.0018667082284652167
L03-214-2 (L03P18),Total,"2,4'-DDT",<,1,ng/L,RANCHO SANTA MARGARITA,479795.8095631303,479795.8095631303,2.9952649033133848e-5,4.134988368451348e-4
L03-316-3 (L03P12),Total,"2,4'-DDT",<,1,ng/L,MISSION VIEJO,8376960.281847767,8376960.281847767,5.229561123411058e-4,0.0018667082284652167
L01-404-1,Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,467803.0665000001,467803.0665000001,2.9203967163149262e-5,0.0018231420930441948
L01-340-1,Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,222865.79187889196,222865.79187889196,1.3913045325923315e-5,0.0018231420930441948
L01-340-1,Total,"2,4'-DDT",<,1,ng/L,RANCHO SANTA MARGARITA,2737.9326098279057,2737.9326098279057,1.7092340721612117e-7,4.134988368451348e-4
L05-489-3,Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,15273413.564915098,15273413.564915098,9.534872688120334e-4,0.0018231420930441948
L05-049-1,Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,6459566.4,6459566.4,4.032572219869839e-4,0.0018231420930441948
L02-374-1 (L02P50),Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,6629839.826400001,6629839.826400001,4.138870359181898e-4,0.0018231420930441948
L03-418-8,Total,"2,4'-DDT",<,1,ng/L,LAGUNA NIGUEL,109876.87025110077,109876.87025110077,6.8593832332280335e-6,0.0010419071349436308
L03-418-8,Total,"2,4'-DDT",<,1,ng/L,MISSION VIEJO,1002625.2111076597,1002625.2111076597,6.259179522102106e-5,0.0018667082284652167
K01-12177-1 (K01P07),Total,"2,4'-DDT",<,1,ng/L,LAGUNA NIGUEL,8028342.428597124,8028342.428597124,5.011926287987863e-4,0.0010419071349436308
J03-9221-1 (J03P02),Total,"2,4'-DDT",<,1,ng/L,LAGUNA NIGUEL,3169526.9760000003,3169526.9760000003,1.9786694093810474e-4,0.0010419071349436308
J01-9224-1 (J01P24),Total,"2,4'-DDT",<,1,ng/L,ALISO VIEJO,914.041528963416,914.041528963416,5.706170119259435e-8,1.8012120915138674e-4
J01-9224-1 (J01P24),Total,"2,4'-DDT",<,1,ng/L,LAGUNA NIGUEL,54878.75822387448,54878.75822387448,3.425966112439833e-6,0.0010419071349436308
J01-9224-2 (J01P25),Total,"2,4'-DDT",<,1,ng/L,ALISO VIEJO,4874.888154471552,4874.888154471552,3.0432907302716985e-7,1.8012120915138674e-4
J01-9224-2 (J01P25),Total,"2,4'-DDT",<,1,ng/L,LAGUNA NIGUEL,292686.7105273306,292686.7105273306,1.8271819266345782e-5,0.0010419071349436308
J01-9992-1 (J01P27),Total,"2,4'-DDT",<,1,ng/L,ALISO VIEJO,222518.53120595615,222518.53120595615,1.3891366568309887e-5,1.8012120915138674e-4
J01-9992-1 (J01P27),Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,652.66864898256,652.66864898256,4.0744738883201976e-8,0.0018231420930441948
J01-9131-1 (J01P28),Total,"2,4'-DDT",<,1,ng/L,ALISO VIEJO,566854.848,566854.848,3.538756274327237e-5,1.8012120915138674e-4
J01-9007-1 (J02P05),Total,"2,4'-DDT",<,1,ng/L,ALISO VIEJO,560271.1818090362,560271.1818090362,3.49765582308553e-5,1.8012120915138674e-4
J01-9007-1 (J02P05),Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,10303.188336323325,10303.188336323325,6.43206501618195e-7,0.0018231420930441948
J06-9079-1 (J06P03),Total,"2,4'-DDT",<,1,ng/L,ALISO VIEJO,434948.7669667898,434948.7669667898,2.715294194881125e-5,1.8012120915138674e-4
J06-10011-1 (J06P01),Total,"2,4'-DDT",<,1,ng/L,ALISO VIEJO,64191.82316073409,64191.82316073409,4.007361280793919e-6,1.8012120915138674e-4
J06-10011-1 (J06P01),Total,"2,4'-DDT",<,1,ng/L,LAGUNA HILLS,90036.09893448578,90036.09893448578,5.620765371320585e-6,5.620765371320585e-6
J06-10011-1 (J06P01),Total,"2,4'-DDT",<,1,ng/L,LAGUNA WOODS,164795.93644752,164795.93644752,1.0287865688101056e-5,1.0287865688101056e-5
J06-10011-1 (J06P01),Total,"2,4'-DDT",<,1,ng/L,LAKE FOREST,99155.5652674541,99155.5652674541,6.190074583690727e-6,6.015402973580385e-5
J01-9082-2,Total,"2,4'-DDT",<,1,ng/L,ALISO VIEJO,1030693.3046623744,1030693.3046623744,6.434402760512425e-5,1.8012120915138674e-4
J01-9082-2,Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,22674.74953076879,22674.74953076879,1.4155371953492865e-6,0.0018231420930441948
L01-726-5,Total,"2,4'-DDT",<,1,ng/L,DANA POINT,317948.7751340659,317948.7751340659,1.98488771312464e-5,3.156446572911378e-4
L01-726-5,Total,"2,4'-DDT",<,1,ng/L,SAN JUAN CAPISTRANO,21257.621507790718,21257.621507790718,1.3270688563991607e-6,2.4609173855706337e-4
K01-12159-2,Total,"2,4'-DDT",<,1,ng/L,DANA POINT,2048284.7999999998,2048284.7999999998,1.27870136652851e-4,3.156446572911378e-4
K01-12159-3,Total,"2,4'-DDT",<,1,ng/L,DANA POINT,848016.0000000001,848016.0000000001,5.293986549321858e-5,3.156446572911378e-4
I01-11010-1,Total,"2,4'-DDT",<,1,ng/L,LAGUNA BEACH,110108.16,110108.16,6.873822168574401e-6,1.3788889012596886e-4
I00-11437-1,Total,"2,4'-DDT",<,1,ng/L,LAGUNA BEACH,2098661.8087118063,2098661.8087118063,1.3101506795739446e-4,1.3788889012596886e-4
I00-11437-1,Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,76751.95130994794,76751.95130994794,4.791463815176488e-6,0.0018231420930441948
L02-246-1 (L11P01),Total,"2,4'-DDT",<,1,ng/L,RANCHO SANTA MARGARITA,650851.2,650851.2,4.063127934390377e-5,4.134988368451348e-4
L02-641-1,Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,1771.4250436392,1771.4250436392,1.1058636103750177e-7,0.0018231420930441948
L02-641-1,Total,"2,4'-DDT",<,1,ng/L,RANCHO SANTA MARGARITA,299548.574853912,299548.574853912,1.870019110659636e-5,4.134988368451348e-4
L02-641-2,Total,"2,4'-DDT",<,1,ng/L,ORANGE CO,25459.629297200037,25459.629297200037,1.5893914153753902e-6,0.0018231420930441948
