LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,...1,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Stormflow Volume -cf,"2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L",Acenaphthene - ng/L,Acenaphthylene - ng/L,Aldrin - ng/L,Anthracene - ng/L,Azinphos Methyl - ng/L,Benz[a]anthracene - ng/L,Benzo[a]pyrene - ng/L,Benzo[b]fluoranthene - ng/L,"Benzo[g,h,i]perylene - ng/L",Benzo[k]fluoranthene - ng/L,BHC-alpha - ng/L,BHC-beta - ng/L,BHC-delta - ng/L,BHC-gamma - ng/L,Biphenyl - ng/L,Bolstar (Sulprofos) - ng/L,Chlordane-alpha - ng/L,Chlordane-gamma - ng/L,Chlorpyrifos - ng/L,Chrysene - ng/L,Demeton - ng/L,Diazinon - ng/L,"Dibenz[a,h]anthracene - ng/L",Dibenzothiophene - ng/L,Dichlorvos - ng/L,Dieldrin - ng/L,Dimethoate - ng/L,Disulfoton - ng/L,Endosulfan-I - ng/L,Endosulfan-II - ng/L,Endosulfan Sulfate - ng/L,Endrin - ng/L,Endrin Aldehyde - ng/L,Ethoprop (Ethoprofos) - ng/L,Ethyl Parathion - ng/L,Fenchlorphos (Ronnel) - ng/L,Fensulfothion - ng/L,Fenthion - ng/L,Fluoranthene - ng/L,Fluorene - ng/L,Heptachlor - ng/L,Heptachlor Epoxide - ng/L,"Indeno[1,2,3-cd]pyrene - ng/L",Malathion - ng/L,Merphos - ng/L,Methoxychlor - ng/L,Methyl Parathion - ng/L,Mevinphos (Phosdrin) - ng/L,Mirex - ng/L,Naphthalene - ng/L,Phenanthrene - ng/L,Phorate - ng/L,Pyrene - ng/L,Tetrachlorvinphos (Stirofos) - ng/L,Tokuthion (Prothiofos) - ng/L,Toxaphene - ng/L,trans-Nonachlor - ng/L,Trichloronate - ng/L,"Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L",Dissolved Organic Carbon - mg/L,"Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L",MBAS - mg/L,"Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L",Total Organic Carbon (TOC) - mg/L,"Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L",Chloride - mg/L,Nitrate + Nitrite as N - mg/L,"Nitrogen, Total Kjeldahl - mg/L",Orthophosphate as P - mg/L,pH,Phosphorus as PO4 - mg/L,SpecificConductivity,Sulfate - mg/L,Temperature,Total Dissolved Solids - mg/L,VSS - mg/L,TSS - mg/L,Turbidity - NTU,Enterococcus - CFU/100 mL,E. coli - CFU/100 mL,Fecal coliforms - CFU/100 mL,Total Coliforms - CFU/100 mL,TN - mg/L,Field Dissolved Oxygen,Field pH,Field Specific Conductivity,Field Temperature,Field Turbidity - NTU,...117,GlobalID_tribarea,area_acres,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,LOCDESC,OBJECTID_hydstra,station,Rain_Gage_Total,Composite Begin,Composite End,Rain_Event_Total,RC_Event,RC_M,RC_CF,na.rm,RCandCF,RC_Mcf,RC_WMAcf,RC_WMAcf_M,Stormwater Volume (acre-ft)_RC,Stormwater Volume (acre-ft)_RC_M,Stormwater Volume (acre-ft)_RC_Event,Stormwater Volume (acre-ft)_RC_WMAcf,Stormwater Volume (acre-ft)_RC_WMAcf_M
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),168543.3572,3.869238553,0.698618304,29,2024-02-01T09:28:00Z,3281002,Total,Grab,NA,NA,9450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=14000,4400,4600,>=43000,NA,NA,NA,NA,NA,NA,365,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,20.56,NA,NA,NA,NA,0.4309018585120463,NA,TRUE,NA,NA,0.03558707832292528,0.10475399667667125,1.4385570990817131,408.88896836705703,NA,0.2359172541798208,99.40257343367388
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),168543.3572,3.869238553,0.698618304,30,2024-02-02T12:00:00Z,3282001,Total,Composite,2024-02-01T04:56:00Z,2024-02-02T03:56:00Z,698055.3,<2,<2,<2,<2,<2,<2,J1.39,<5,<5,J1.02,<10,<5,<5,J4.47,8.75,J3.6,<5,<5,<5,<5,J3.26,<4,<2,<2,<1,7.31,<2,<1,<5,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,6.62,J1.46,<5,<5,<5,<5,<2,<5,<2,<10,<5,13.1,J4.9,<10,13.1,<4,<6,<25,<2,<2,4.9,0.74,73.1,2.1,9.6,6.7,265,470,0.51,20.1,13,0.14000000000000001,<0.05,5.8,8.6,<0.2,<0.2,8.4,48,0.31,100,3.4,1.5,0.22,H7.38,0.91,1060,160,H16.8,H580,6.5,17,11,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,365,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,20.56,2024-02-01,2024-02-02,3.48,0.09977432485375572,0.4309018585120463,0.23154767816107347,TRUE,0.05024584616095294,NA,0.03558707832292528,0.10475399667667125,1.4385570990817131,408.88896836705703,94.67729125106868,0.2359172541798208,99.40257343367388
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),168543.3572,3.869238553,0.698618304,32,2024-02-02T12:00:00Z,3282003,Dissolved,Composite,2024-02-01T04:56:00Z,2024-02-02T03:56:00Z,698055.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,0.61,NA,0.91,6.8,NA,NA,22,<0.2,NA,3.9,NA,<0.05,4.7,8.6,<0.2,<0.2,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,20.56,2024-02-01,2024-02-02,3.48,0.09977432485375572,0.4309018585120463,0.23154767816107347,TRUE,0.05024584616095294,NA,0.03558707832292528,0.10475399667667125,1.4385570990817131,408.88896836705703,94.67729125106868,0.2359172541798208,99.40257343367388
OSIRR,76,Developed Open Space,developed open space,0.217,J03-9216-2,3187706.144,73.17995626,6.514805097,18,2024-01-21T10:47:00Z,3251005,Total,Grab,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=6700,>=1800,2200,>=34000,NA,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,20.56,NA,NA,NA,NA,0.37132378492851387,NA,TRUE,NA,NA,0.03558707832292528,0.07919136914043395,27.207819871092934,714.6361265412443,NA,4.46196689745911,152.40880222340905
OSIRR,76,Developed Open Space,developed open space,0.217,J03-9216-2,3187706.144,73.17995626,6.514805097,22,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,712914,<2,<2,<2,<2,<2,<2,<5,<5,<5,<5,<10,J2.55,J3.5,9.76,9.6199999999999992,6.24,<5,<5,<5,<5,J2.16,<4,<2,<2,<1,7.66,<2,<1,<5,J4.98,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,10.6,J1.75,<5,<5,J4.56,<5,<2,<5,<2,<10,<5,10.3,6.68,<10,17.2,<4,<6,J15.4,<2,<2,1.4,1.1000000000000001,67.9,2,12,8.5,288,680,0.75,28.9,110,0.14000000000000001,<0.05,8.1,1.4,<0.2,<0.2,9.1,50,0.11,110,1.7,1.2,0.19,H7.43,1,1070,200,H16.3,570,7.3,21,12,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,20.56,2024-01-20,2024-01-21,1.82,0.09606579832315541,0.37132378492851387,0.2587116748840899,TRUE,0.05614043344984751,NA,0.03558707832292528,0.07919136914043395,27.207819871092934,714.6361265412443,184.88470923016374,4.46196689745911,152.40880222340905
OSIRR,76,Developed Open Space,developed open space,0.217,J03-9216-2,3187706.144,73.17995626,6.514805097,26,2024-01-21T10:47:00Z,3252007,Dissolved,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,712914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.75,NA,0.77,7.3,NA,NA,38,<0.2,NA,81,NA,<0.05,6.8,1.4,<0.2,<0.2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,20.56,2024-01-20,2024-01-21,1.82,0.09606579832315541,0.37132378492851387,0.2587116748840899,TRUE,0.05614043344984751,NA,0.03558707832292528,0.07919136914043395,27.207819871092934,714.6361265412443,184.88470923016374,4.46196689745911,152.40880222340905
OSIRR,76,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),47172.44462,1.082934649,0.274211974,19,2024-01-21T12:09:00Z,3251006,Total,Grab,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=6400,2400,4400,240000,NA,NA,NA,NA,NA,NA,336,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,19.47,NA,NA,NA,NA,0.39812587475814387,NA,TRUE,NA,NA,0.03558707832292528,0.09143756505923496,0.3812823385565425,255.10593298150886,NA,0.06252868407999902,58.59017668259804
OSIRR,76,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),47172.44462,1.082934649,0.274211974,23,2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,968031.3,<2,<2,<2,<2,<2,<2,<5,J1.75,<5,J2.68,<10,J2.31,5.3,<5,14.7,6.07,<5,<5,<5,<5,J4.03,<4,<2,J1.48,<1,7.52,<2,<1,<5,7.47,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,10.5,<5,<5,<5,J4.71,<5,<2,<5,<2,<10,<5,20.5,8.99,<10,23.1,<4,<6,29.2,2.37,<2,4.2,3.3,44.2,2.5,21,11,152,1000,1.3,10.1,39,0.14000000000000001,<0.05,5.7,0.61,<0.2,<0.2,12,120,0.22,59,2.2,2.3,0.28,H7.55,1.3,630,91,H16.4,310,11,32,16,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,336,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,19.47,2024-01-20,2024-01-21,2.52,0.2679580349998111,0.39812587475814387,0.6730485306000068,TRUE,0.14605153114020147,NA,0.03558707832292528,0.09143756505923496,0.3812823385565425,255.10593298150886,171.69867334054834,0.06252868407999902,58.59017668259804
OSIRR,76,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),47172.44462,1.082934649,0.274211974,27,2024-01-21T12:09:00Z,3252008,Dissolved,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,968031.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,1,14,NA,NA,31,<0.2,NA,4.5999999999999996,NA,<0.05,4.2,0.52,<0.2,<0.2,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,19.47,2024-01-20,2024-01-21,2.52,0.2679580349998111,0.39812587475814387,0.6730485306000068,TRUE,0.14605153114020147,NA,0.03558707832292528,0.09143756505923496,0.3812823385565425,255.10593298150886,171.69867334054834,0.06252868407999902,58.59017668259804
OSIRR,76,Developed Open Space,developed open space,0.217,K01-12156-4,4367492.601,100.2642349,7.097372082,16,2024-01-21T10:23:00Z,3251003,Total,Grab,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=9000,2800,>=5100,>=59000,NA,NA,NA,NA,NA,NA,326,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,20.56,NA,NA,NA,NA,0.31884533727982217,NA,TRUE,NA,NA,0.03558707832292528,0.06548683864112503,37.277574107587334,771.7382410235633,NA,6.113363822374939,158.50536844684177
OSIRR,76,Developed Open Space,developed open space,0.217,K01-12156-4,4367492.601,100.2642349,7.097372082,20,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,31974.9,<2,<2,<2,<2,<2,<2,<5,<5,<5,<5,<10,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<4,<2,<2,<1,<5,<2,<1,<5,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,<5,J1.08,<5,<5,<5,<5,<2,<5,<2,<10,<5,J4.47,J1.3,<10,J1.49,<4,<6,J10.7,<2,<2,1.4,0.23,118,1.1,5.8,7.1,493,440,0.23,48.2,48,7.0000000000000007E-2,<0.05,3.5,2.5,<0.2,<0.2,7.9,14,<0.1,190,0.93,0.8,0.18,H7.81,0.68,1900,410,H19.3,950,<5,11,6.8,NA,NA,NA,NA,1.73,NA,NA,NA,NA,NA,326,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,20.56,2024-01-21,2024-01-22,3.76,0.001658313509399875,0.31884533727982217,0.005200996582065495,TRUE,0.0011286162583082123,NA,0.03558707832292528,0.06548683864112503,37.277574107587334,771.7382410235633,4.0138079538127895,6.113363822374939,158.50536844684177
OSIRR,76,Developed Open Space,developed open space,0.217,K01-12156-4,4367492.601,100.2642349,7.097372082,24,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,31974.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,<0.2,NA,0.42,4.4,NA,NA,37,<0.2,NA,35,NA,<0.05,3,2.3,<0.2,<0.2,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,20.56,2024-01-21,2024-01-22,3.76,0.001658313509399875,0.31884533727982217,0.005200996582065495,TRUE,0.0011286162583082123,NA,0.03558707832292528,0.06548683864112503,37.277574107587334,771.7382410235633,4.0138079538127895,6.113363822374939,158.50536844684177
OSIRR,76,Developed Open Space,developed open space,0.217,L01-728-5 (L01-DP),4816.405236,0.110569892,0.447221422,3,2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,12120.3,<2,<2,<2,<2,<2,<2,<5,J3.6,<5,<5,<10,<5,<5,8.16,17.399999999999999,<5,<5,<5,<5,<5,6.64,<4,<2,<2,<1,<5,<2,<1,<5,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,14.6,<5,<5,<5,<5,<5,<2,<5,<2,<10,<5,8.9700000000000006,11.6,<10,21.4,<4,<6,<25,<2,<2,1.6,<0.2,NA,3.6,19,14,133,810,1.4,NA,30,0.21,<0.05,3.7,0.47,<0.2,<0.2,15,64,0.14000000000000001,54,1.8,1.4,0.28,H7.26,0.94,550,81,H17.2,440,10,26,17,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,373,{D0DA33BE-2494-4995-85E6-4F0B73E68804},24.72372499,18,18,63,4934.294031,18,{239C7351-6675-4B26-B959-1D8B4D6371A5},L01-DP,63,DANAPOINT,17.71,2023-12-20,2023-12-21,1.74,0.07761463010918035,0.41746529027499485,0.18591876239112873,TRUE,0.04034437143887493,NA,0.03558707832292528,0.09731919644448553,0.035410652904036666,15.23251419956153,2.832010188087774,0.0058071966744786836,3.5509923250242887
OSIRR,76,Developed Open Space,developed open space,0.217,L01-728-5 (L01-DP),4816.405236,0.110569892,0.447221422,5,2023-12-21T09:00:00Z,3210004,Dissolved,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,12120.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,<0.2,NA,2.4,13,NA,NA,49,0.31,NA,4.9000000000000004,NA,<0.05,2.8,0.44,<0.2,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,{D0DA33BE-2494-4995-85E6-4F0B73E68804},24.72372499,18,18,63,4934.294031,18,{239C7351-6675-4B26-B959-1D8B4D6371A5},L01-DP,63,DANAPOINT,17.71,2023-12-20,2023-12-21,1.74,0.07761463010918035,0.41746529027499485,0.18591876239112873,TRUE,0.04034437143887493,NA,0.03558707832292528,0.09731919644448553,0.035410652904036666,15.23251419956153,2.832010188087774,0.0058071966744786836,3.5509923250242887
OSIRR,76,Developed Open Space,developed open space,0.217,L01-728-5 (L01-DP),4816.405236,0.110569892,0.447221422,7,2023-12-20T11:19:00Z,3211001,Total,Grab,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,6700,8600,>=36000,NA,NA,NA,NA,NA,NA,373,{D0DA33BE-2494-4995-85E6-4F0B73E68804},24.72372499,18,18,63,4934.294031,18,{239C7351-6675-4B26-B959-1D8B4D6371A5},L01-DP,63,DANAPOINT,17.71,NA,NA,NA,NA,0.41746529027499485,NA,TRUE,NA,NA,0.03558707832292528,0.09731919644448553,0.035410652904036666,15.23251419956153,NA,0.0058071966744786836,3.5509923250242887
OSIRR,76,Developed Open Space,developed open space,0.217,L02-166-2 (L02P25),881220.9798,20.23013096,5.558442094,17,2024-01-21T11:34:00Z,3251004,Total,Grab,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,>=1500,>=1300,>=28000,NA,NA,NA,NA,NA,NA,342,{3A11CF81-5CBC-49DA-954D-B3E5E34A8451},363.95293383,6,6,65,9672.861319,6,{FF3574C5-E460-4A7F-94BD-7DEF35298977},L02P25,65,TRABUCO,22.96,NA,NA,NA,NA,0.3820382435520306,NA,TRUE,NA,NA,0.03558707832292528,0.07918699682000366,8.399415507052266,266.03740438878805,NA,1.3774684678168763,55.14291684378939
OSIRR,76,Developed Open Space,developed open space,0.217,L02-166-2 (L02P25),881220.9798,20.23013096,5.558442094,21,2024-01-21T11:34:00Z,3252002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,21110.1,<2,<2,<2,<2,<2,<2,<5,<5,<5,<5,<10,<5,<5,<5,J1.77,<5,<5,<5,<5,<5,<5,<4,J0.931,<2,<1,J1.09,<2,<1,<5,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,J1.85,J1.1,<5,<5,<5,<5,<2,<5,<2,<10,<5,J4.8,J2.47,<10,J3.31,<4,<6,<25,<2,<2,10,0.46,105,0.95,6.4,6,365,430,0.28000000000000003,25,77,7.2999999999999995E-2,<0.05,4.9000000000000004,4.2,<0.2,<0.2,6.2,15,<0.1,110,1,0.75,0.16,H8.05,0.68,1230,200,H19.1,690,<5,6.3,5.6,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,342,{3A11CF81-5CBC-49DA-954D-B3E5E34A8451},363.95293383,6,6,65,9672.861319,6,{FF3574C5-E460-4A7F-94BD-7DEF35298977},L02P25,65,TRABUCO,22.96,2024-01-20,2024-01-21,2.26,0.007070172367580838,0.3820382435520306,0.018506451872056982,TRUE,0.004015900056236365,NA,0.03558707832292528,0.07918699682000366,8.399415507052266,266.03740438878805,4.923408420488066,1.3774684678168763,55.14291684378939
